,Mobility Profile
2016-01-01 04:57:00+00:00,87221.88081584839
2016-01-01 04:58:00+00:00,86367.86445417967
2016-01-01 04:59:00+00:00,86367.86217335967
2016-01-01 05:00:00+00:00,49162.20272854986
2016-01-01 05:01:00+00:00,49165.22037500246
2016-01-01 05:02:00+00:00,47305.11055378428
2016-01-01 05:03:00+00:00,58847.65149553663
2016-01-01 05:04:00+00:00,69591.70466637489
2016-01-01 05:05:00+00:00,79577.37344301521
2016-01-01 05:06:00+00:00,77697.96088549464
2016-01-01 05:07:00+00:00,77697.95404261464
2016-01-01 05:08:00+00:00,77697.96088549464
2016-01-01 05:09:00+00:00,79446.88878550431
2016-01-01 05:10:00+00:00,67266.3952129541
2016-01-01 05:11:00+00:00,67266.3963534341
2016-01-01 05:12:00+00:00,67266.39407247411
2016-01-01 05:13:00+00:00,87485.86067522198
2016-01-01 05:14:00+00:00,86342.71273685752
2016-01-01 05:15:00+00:00,86342.71045589751
2016-01-01 05:16:00+00:00,96627.79941550779
2016-01-01 05:17:00+00:00,110218.00490020607
2016-01-01 05:18:00+00:00,111734.22435762198
2016-01-01 05:19:00+00:00,118680.36569961015
2016-01-01 05:20:00+00:00,131078.94360722532
2016-01-01 05:21:00+00:00,106372.1565654381
2016-01-01 05:22:00+00:00,116916.52896937507
2016-01-01 05:23:00+00:00,133524.9879063755
2016-01-01 05:24:00+00:00,133397.1857190114
2016-01-01 05:25:00+00:00,153243.35874886715
2016-01-01 05:26:00+00:00,151316.91290446185
2016-01-01 05:27:00+00:00,169726.808773391
2016-01-01 05:28:00+00:00,150491.24703740943
2016-01-01 05:29:00+00:00,168338.6572704338
2016-01-01 05:30:00+00:00,151730.19491199343
2016-01-01 05:31:00+00:00,120713.20098211986
2016-01-01 05:32:00+00:00,120713.20440355987
2016-01-01 05:33:00+00:00,131043.39293594057
2016-01-01 05:34:00+00:00,142779.91212803082
2016-01-01 05:35:00+00:00,167284.47329037247
2016-01-01 05:36:00+00:00,161513.69093665556
2016-01-01 05:37:00+00:00,126155.29491129897
2016-01-01 05:38:00+00:00,117441.46040293488
2016-01-01 05:39:00+00:00,142457.96215899917
2016-01-01 05:40:00+00:00,149870.86980438908
2016-01-01 05:41:00+00:00,151850.84974811113
2016-01-01 05:42:00+00:00,151850.84404571113
2016-01-01 05:43:00+00:00,151850.84404571113
2016-01-01 05:44:00+00:00,152264.894512725
2016-01-01 05:45:00+00:00,164249.49041693046
2016-01-01 05:46:00+00:00,145766.6557317353
2016-01-01 05:47:00+00:00,155887.00833826239
2016-01-01 05:48:00+00:00,148866.0402077431
2016-01-01 05:49:00+00:00,169522.6129071219
2016-01-01 05:50:00+00:00,147505.1798671185
2016-01-01 05:51:00+00:00,147505.1867099985
2016-01-01 05:52:00+00:00,147749.52962951845
2016-01-01 05:53:00+00:00,138025.6584003382
2016-01-01 05:54:00+00:00,168406.03051570317
2016-01-01 05:55:00+00:00,150191.34290591365
2016-01-01 05:56:00+00:00,150191.33948447363
2016-01-01 05:57:00+00:00,164891.46719124055
2016-01-01 05:58:00+00:00,197900.62138459785
2016-01-01 05:59:00+00:00,201722.2682991729
2016-01-01 06:00:00+00:00,189484.94626631952
2016-01-01 06:01:00+00:00,211895.68302395096
2016-01-01 06:02:00+00:00,236273.59779210825
2016-01-01 06:03:00+00:00,221601.3631797546
2016-01-01 06:04:00+00:00,242060.95143886466
2016-01-01 06:05:00+00:00,264910.8898013602
2016-01-01 06:06:00+00:00,264910.8875212402
2016-01-01 06:07:00+00:00,269490.3212088488
2016-01-01 06:08:00+00:00,257452.70379024374
2016-01-01 06:09:00+00:00,256059.61452454422
2016-01-01 06:10:00+00:00,289573.86306400073
2016-01-01 06:11:00+00:00,269223.87568363064
2016-01-01 06:12:00+00:00,287620.2225570039
2016-01-01 06:13:00+00:00,284661.15540159715
2016-01-01 06:14:00+00:00,284661.15312147717
2016-01-01 06:15:00+00:00,295808.8675464271
2016-01-01 06:16:00+00:00,297284.6146964488
2016-01-01 06:17:00+00:00,293302.5018133323
2016-01-01 06:18:00+00:00,326557.7692158354
2016-01-01 06:19:00+00:00,324719.8008738012
2016-01-01 06:20:00+00:00,321845.0234362301
2016-01-01 06:21:00+00:00,329395.9061959595
2016-01-01 06:22:00+00:00,317596.7406236856
2016-01-01 06:23:00+00:00,336676.0728884682
2016-01-01 06:24:00+00:00,306270.0791509375
2016-01-01 06:25:00+00:00,305420.04900971765
2016-01-01 06:26:00+00:00,312201.6831623098
2016-01-01 06:27:00+00:00,282616.93493589386
2016-01-01 06:28:00+00:00,274965.7003706574
2016-01-01 06:29:00+00:00,265358.5192642243
2016-01-01 06:30:00+00:00,286308.3568860658
2016-01-01 06:31:00+00:00,297622.6528902782
2016-01-01 06:32:00+00:00,287747.5003268646
2016-01-01 06:33:00+00:00,273379.8257415826
2016-01-01 06:34:00+00:00,279822.8700358456
2016-01-01 06:35:00+00:00,293348.68895981164
